iter	Passed	Remaining
0	408	407606
1	437	218557
2	460	153144
3	489	121876
4	507	100938
5	531	88096
6	555	78810
7	575	71357
8	602	66358
9	635	62873
10	660	59379
11	682	56213
12	701	53250
13	721	50812
14	738	48517
15	765	47099
16	785	45414
17	804	43877
18	828	42794
19	853	41807
20	875	40824
21	893	39740
22	915	38906
23	933	37974
24	958	37386
25	981	36771
26	998	35997
27	1025	35608
28	1057	35411
29	1080	34948
30	1098	34328
31	1121	33914
32	1141	33441
33	1159	32944
34	1183	32624
35	1199	32123
36	1225	31908
37	1247	31576
38	1264	31162
39	1289	30949
40	1313	30715
41	1353	30874
42	1375	30621
43	1394	30289
44	1413	29994
45	1428	29627
46	1452	29457
47	1473	29230
48	1492	28961
49	1513	28760
50	1536	28599
51	1554	28339
52	1577	28179
53	1592	27901
54	1615	27754
55	1638	27619
56	1655	27386
57	1676	27223
58	1691	26980
59	1713	26847
60	1735	26715
61	1752	26515
62	1782	26515
63	1802	26354
64	1819	26177
65	1840	26039
66	1862	25940
67	1879	25760
68	1898	25618
69	1918	25490
70	1944	25440
71	1967	25355
72	1985	25208
73	2003	25069
74	2019	24911
75	2047	24897
76	2067	24787
77	2084	24640
78	2107	24571
79	2133	24533
80	2150	24394
81	2185	24463
82	2207	24393
83	2231	24332
84	2248	24204
85	2267	24103
86	2289	24024
87	2311	23951
88	2337	23925
89	2362	23883
90	2379	23773
91	2398	23670
92	2414	23551
93	2438	23504
94	2460	23437
95	2478	23340
96	2497	23251
97	2514	23140
98	2541	23126
99	2564	23083
100	2581	22973
101	2600	22893
102	2624	22856
103	2642	22762
104	2663	22705
105	2679	22598
106	2697	22513
107	2712	22404
108	2737	22373
109	2762	22349
110	2778	22249
111	2796	22170
112	2818	22121
113	2834	22026
114	2856	21983
115	2875	21916
116	2904	21923
117	2931	21914
118	2969	21984
119	2990	21927
120	3006	21843
121	3025	21775
122	3041	21688
123	3069	21682
124	3088	21621
125	3104	21537
126	3126	21493
127	3141	21399
128	3160	21337
129	3183	21306
130	3201	21238
131	3225	21208
132	3239	21116
133	3262	21081
134	3282	21031
135	3301	20971
136	3323	20933
137	3351	20932
138	3369	20871
139	3392	20841
140	3415	20809
141	3433	20743
142	3460	20739
143	3482	20701
144	3502	20650
145	3529	20642
146	3550	20602
147	3566	20534
148	3590	20504
149	3613	20476
150	3630	20413
151	3648	20357
152	3665	20291
153	3700	20326
154	3731	20340
155	3760	20343
156	3782	20308
157	3813	20324
158	3843	20327
159	3863	20283
160	3883	20240
161	3912	20239
162	3928	20175
163	3964	20208
164	3982	20155
165	3997	20081
166	4023	20069
167	4043	20024
168	4059	19962
169	4082	19930
170	4105	19903
171	4125	19857
172	4143	19806
173	4159	19746
174	4185	19729
175	4205	19688
176	4222	19632
177	4244	19601
178	4260	19539
179	4290	19545
180	4309	19499
181	4326	19445
182	4344	19394
183	4363	19350
184	4379	19295
185	4399	19255
186	4416	19200
187	4442	19189
188	4463	19154
189	4480	19100
190	4499	19057
191	4515	19003
192	4544	19002
193	4577	19018
194	4598	18981
195	4614	18928
196	4637	18904
197	4658	18867
198	4675	18817
199	4695	18781
200	4712	18731
201	4739	18723
202	4759	18688
203	4778	18644
204	4796	18599
205	4812	18548
206	4838	18535
207	4864	18523
208	4886	18492
209	4903	18447
210	4924	18414
211	4941	18367
212	4960	18328
213	4976	18279
214	5001	18260
215	5023	18232
216	5039	18184
217	5059	18148
218	5083	18129
219	5101	18087
220	5122	18055
221	5138	18007
222	5169	18011
223	5188	17973
224	5204	17927
225	5226	17900
226	5245	17861
227	5265	17828
228	5288	17807
229	5328	17838
230	5356	17831
231	5421	17945
232	5475	18022
233	5499	18002
234	5530	18002
235	5556	17988
236	5578	17959
237	5598	17925
238	5630	17928
239	5661	17928
240	5682	17896
241	5715	17900
242	5743	17891
243	5763	17856
244	5796	17861
245	5838	17893
246	5858	17859
247	5887	17852
248	5915	17841
249	5946	17840
250	5975	17830
251	6005	17826
252	6024	17788
253	6041	17744
254	6062	17712
255	6079	17668
256	6128	17718
257	6145	17675
258	6163	17634
259	6180	17589
260	6206	17571
261	6225	17537
262	6243	17494
263	6262	17459
264	6284	17429
265	6301	17388
266	6322	17356
267	6339	17315
268	6361	17285
269	6377	17243
270	6400	17217
271	6420	17184
272	6437	17142
273	6456	17106
274	6473	17067
275	6499	17048
276	6518	17014
277	6535	16973
278	6558	16947
279	6574	16905
280	6600	16888
281	6621	16858
282	6638	16818
283	6655	16780
284	6672	16738
285	6696	16718
286	6716	16685
287	6734	16648
288	6752	16612
289	6768	16571
290	6786	16534
291	6802	16493
292	6821	16459
293	6838	16421
294	6864	16405
295	6884	16373
296	6900	16334
297	6917	16295
298	6933	16256
299	6954	16226
300	6976	16202
301	6993	16163
302	7013	16132
303	7029	16092
304	7051	16068
305	7069	16032
306	7107	16043
307	7123	16004
308	7140	15968
309	7159	15934
310	7177	15901
311	7196	15868
312	7217	15841
313	7230	15796
314	7250	15767
315	7272	15741
316	7289	15704
317	7311	15680
318	7333	15656
319	7351	15621
320	7370	15590
321	7385	15551
322	7457	15631
323	7514	15678
324	7583	15750
325	7621	15758
326	7705	15858
327	7745	15869
328	7803	15915
329	7856	15950
330	7880	15928
331	7901	15898
332	7917	15859
333	7939	15830
334	7954	15791
335	7987	15784
336	8010	15760
337	8030	15728
338	8046	15689
339	8064	15655
340	8080	15616
341	8100	15585
342	8117	15548
343	8137	15518
344	8153	15479
345	8174	15451
346	8197	15425
347	8214	15390
348	8232	15355
349	8247	15317
350	8267	15286
351	8283	15249
352	8310	15232
353	8329	15200
354	8346	15164
355	8364	15131
356	8379	15092
357	8396	15058
358	8413	15022
359	8443	15010
360	8466	14985
361	8481	14947
362	8498	14913
363	8513	14874
364	8536	14851
365	8555	14820
366	8572	14785
367	8596	14763
